domain,system,n_windows,mean_psnr,delta_psnr_vs_route0,mean_l1_proxy_lpips,delta_l1_vs_route0,mean_flicker,delta_flicker_vs_route0,mean_static_ghost,delta_static_ghost_vs_route0,caveat
real,route0,5.0,30.50211919273412,0.0,0.014831560850143432,0.0,0.007990826107561588,0.0,0.12733273804187775,0.0,trained route0 LoRA baseline
real,matched_lifespan,5.0,29.818134359321654,-0.6839848334124667,0.016354632563889027,0.0015230717137455947,0.007956006657332182,-3.481945022940601e-05,0.12733273804187775,0.0,derived lifespan-only image composite
real,hide_reveal,5.0,41.714903733552326,11.212784540818205,0.0026653554756194352,-0.012166205374523996,0.001685856096446514,-0.006304970011115073,0.12733273804187775,0.0,derived GT-crop upper-bound; not a trained Gaussian output
real,residual_uncertainty,5.0,30.073395341209725,-0.4287238515243956,0.01657234113663435,0.0017407802864909186,0.008039021119475364,4.81950119137764e-05,0.1457015424966812,0.01836880445480346,existing residual/filemask baseline eval from R011
