candidate_id,scene,frame_start,frame_end,crop_xyxy,score,score_mean,score_peak,dynamic_motion_mean,static_delta_motion_mean,motion_mask_mean,mask_boundary_mean,flicker_motion_mean
cut_roasted_beef_nonoracle_01_248_263_320_240_480_400,cut_roasted_beef,248,263,"[320, 240, 480, 400]",0.05998587242793291,0.056505509885028005,0.06810671836137772,0.027632387646008283,0.01740398973925039,0.13896595546975732,0.07429283508099616,0.006248082368983887
cut_roasted_beef_nonoracle_02_256_271_320_240_480_400,cut_roasted_beef,256,271,"[320, 240, 480, 400]",0.051115292590111494,0.04383325297385454,0.06810671836137772,0.021567066723946482,0.012678340950515121,0.10541427321732044,0.06534746440593153,0.004537581968179438
cut_roasted_beef_nonoracle_03_252_267_320_320_480_480,cut_roasted_beef,252,267,"[320, 320, 480, 480]",0.04841211740858853,0.04641983611509204,0.05306077376008034,0.024828541674651206,0.017635919561143965,0.10725887678563595,0.06283079646527767,0.004461369622731581
cut_roasted_beef_nonoracle_04_244_259_240_240_400_400,cut_roasted_beef,244,259,"[240, 240, 400, 400]",0.04636632022447884,0.04254292277619243,0.05528758093714714,0.02046298037748784,0.01407265244051814,0.10448086052201688,0.054941990645602345,0.0049660404765745625
cut_roasted_beef_nonoracle_05_240_255_320_240_480_400,cut_roasted_beef,240,255,"[320, 240, 480, 400]",0.04598837254452519,0.03703052207129076,0.06689002364873886,0.017730318068061024,0.0122214718721807,0.08935773721896112,0.05235345859546214,0.003895244146406185
cut_roasted_beef_nonoracle_06_244_259_320_320_480_480,cut_roasted_beef,244,259,"[320, 320, 480, 480]",0.04532237742096186,0.042272774502635,0.05243811756372452,0.020506318716797978,0.014886942750308663,0.10345702292397618,0.05287691461853683,0.004437610892637167
cut_roasted_beef_nonoracle_07_248_263_320_160_480_320,cut_roasted_beef,248,263,"[320, 160, 480, 320]",0.041339225019328296,0.038669751258566976,0.04756799712777138,0.021262136986479163,0.012232345179654658,0.09386359946802258,0.04452487314119935,0.005030591375543736
cut_roasted_beef_nonoracle_08_252_267_240_240_400_400,cut_roasted_beef,252,267,"[240, 240, 400, 400]",0.04057288456824608,0.03426658612443134,0.05528758093714714,0.015779763518366963,0.010141828730411362,0.08545462763868272,0.04643678187858313,0.004017523082438856
flame_steak_nonoracle_01_168_183_240_320_400_480,flame_steak,168,183,"[240, 320, 400, 480]",0.056723646330647165,0.051955147879198194,0.06785014271736145,0.03373949637170881,0.02462546608876437,0.11723186587914824,0.042862591333687305,0.00791465220390819
flame_steak_nonoracle_02_176_191_240_240_400_400,flame_steak,176,191,"[240, 240, 400, 400]",0.05417929473333061,0.05276779131963849,0.05747280269861221,0.030354059068486094,0.02020991308381781,0.11975475633516908,0.06834275485016406,0.0063685489585623145
flame_steak_nonoracle_03_160_175_240_320_400_480,flame_steak,160,175,"[240, 320, 400, 480]",0.052715601853560654,0.04622937005478889,0.06785014271736145,0.0286567744333297,0.022142855887068436,0.10743434866890311,0.03467508207540959,0.0067537897703005
flame_steak_nonoracle_04_164_179_320_320_480_480,flame_steak,164,179,"[320, 320, 480, 480]",0.051428171410225335,0.04537766450084746,0.06554602086544037,0.028665788588114083,0.022068167512770742,0.10356245096772909,0.03586113569326699,0.007017401745542884
flame_steak_nonoracle_05_168_183_240_240_400_400,flame_steak,168,183,"[240, 240, 400, 400]",0.049174917105119675,0.0456186804221943,0.05747280269861221,0.026494808087591082,0.01784434146247804,0.1047888514585793,0.05389525950886309,0.005953495186986402
flame_steak_nonoracle_06_176_191_240_320_400_480,flame_steak,176,191,"[240, 320, 400, 480]",0.04762279712595045,0.04603516450151801,0.05132727324962616,0.029947903705760837,0.021381738130003214,0.09994166484102607,0.04958735476247966,0.005276254960335791
flame_steak_nonoracle_07_156_171_320_320_480_480,flame_steak,156,171,"[320, 320, 480, 480]",0.04469762496883049,0.035762598155997694,0.06554602086544037,0.02219952968880534,0.01741834610584192,0.08065591147169471,0.03257957973983139,0.004324780835304409
flame_steak_nonoracle_08_172_187_320_320_480_480,flame_steak,172,187,"[320, 320, 480, 480]",0.04429568956838921,0.03587692778091878,0.06393946707248688,0.02202040795236826,0.015670291264541447,0.08024739613756537,0.039325443329289556,0.005156387662282214
sear_steak_nonoracle_01_276_291_240_320_400_480,sear_steak,276,291,"[240, 320, 400, 480]",0.03213027903111651,0.029631844605319202,0.03795995935797691,0.016085029987152666,0.007795157580403611,0.07348421332426369,0.03562432050239295,0.0023961883853189647
sear_steak_nonoracle_02_284_299_240_320_400_480,sear_steak,284,299,"[240, 320, 400, 480]",0.029121139540802685,0.027399150771088898,0.03313911333680153,0.013447309262119234,0.006945837027160451,0.0707082583103329,0.03217096533626318,0.0012394563855195884
sear_steak_nonoracle_03_220_235_240_320_400_480,sear_steak,220,235,"[240, 320, 400, 480]",0.025405139446957034,0.019437371578533202,0.039329931139945984,0.013858547492418438,0.009391101950313896,0.03913671791087836,0.023871887649875134,0.0013547311482398072
sear_steak_nonoracle_04_268_283_240_320_400_480,sear_steak,268,283,"[240, 320, 400, 480]",0.024538879675969835,0.01878698838368109,0.03795995935797691,0.01145106050597633,0.005734815709843133,0.04500805148973086,0.019982757403340656,0.0019024871085999706
sear_steak_nonoracle_05_228_243_240_320_400_480,sear_steak,228,243,"[240, 320, 400, 480]",0.024045536329504104,0.017495081410743296,0.039329931139945984,0.012136039571487345,0.007873025926528499,0.03589640697464347,0.022458590916357934,0.0011850129230879247
sear_steak_nonoracle_06_080_095_320_160_480_320,sear_steak,80,95,"[320, 160, 480, 320]",0.018540603306610136,0.016689459676854312,0.022859938442707062,0.010396325116744265,0.00530105632788036,0.03616564243566245,0.02589130529668182,0.0018988146803167183
sear_steak_nonoracle_07_204_219_240_320_400_480,sear_steak,204,219,"[240, 320, 400, 480]",0.01834301550989039,0.016429646115284413,0.022807544097304344,0.011133406369481236,0.007965915443492122,0.03418036736547947,0.019328833383042365,0.0012699886319751386
sear_steak_nonoracle_08_080_095_240_160_400_320,sear_steak,80,95,"[240, 160, 400, 320]",0.01813465651939623,0.01637135521741584,0.022249026224017143,0.010112956748344004,0.005212617426877841,0.03563001734437421,0.025281661713961512,0.0018599089453346096
