area,bbox_xyxy,mean_score,peak_score,component_score,scene,camera,image_name,frame_idx,depth_source,mask_source,flow_source,local_component_rank,depth_edge_mean,temporal_depth_mean,confidence_edge_mean,low_confidence_mean,occlusion_gate_mean,mask_boundary_mean,flow_valid_boundary_mean,flow_mag_boundary_mean,dynamic_boundary_mean,static_delta_boundary_mean,flicker_boundary_mean,component_id
47,"[320, 192, 384, 256]",0.9854750037193298,1.0,0.9883800029754639,cut_roasted_beef,cam00,cam00_0062,62,/leonardo_work/EUHPC_D21_034/proj_adags/repo/adags/refine-logs/depth_occlusion_support/r031_da3_depth_full/depth_npz/cut_roasted_beef/cam00_0062.npz,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/motion_priors/masks/cam00_0062.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/flow/cam00_0062.npz,0,0.18464840948581696,0.5087292790412903,0.33076995611190796,0.46884748339653015,0.3126724064350128,0.01844298094511032,0.021760443225502968,0.7104501724243164,0.5475677847862244,0.6591476798057556,0.026236243546009064,cut_roasted_beef_depth_001_cam00_0062
19,"[320, 160, 384, 224]",0.9854730367660522,1.0,0.9883784294128419,cut_roasted_beef,cam00,cam00_0258,258,/leonardo_work/EUHPC_D21_034/proj_adags/repo/adags/refine-logs/depth_occlusion_support/r031_da3_depth_full/depth_npz/cut_roasted_beef/cam00_0258.npz,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/motion_priors/masks/cam00_0258.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/flow/cam00_0258.npz,0,0.1879161149263382,0.30346664786338806,0.2971084713935852,0.4858786463737488,0.3384030759334564,0.053619153797626495,0.048495616763830185,0.30214861035346985,0.554202675819397,0.6654704213142395,0.0474218912422657,cut_roasted_beef_depth_002_cam00_0258
77,"[352, 192, 416, 256]",0.9811438918113708,1.0,0.9849151134490968,cut_roasted_beef,cam00,cam00_0062,62,/leonardo_work/EUHPC_D21_034/proj_adags/repo/adags/refine-logs/depth_occlusion_support/r031_da3_depth_full/depth_npz/cut_roasted_beef/cam00_0062.npz,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/motion_priors/masks/cam00_0062.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/flow/cam00_0062.npz,1,0.18464840948581696,0.5087292790412903,0.33076995611190796,0.46884748339653015,0.3126724064350128,0.01844298094511032,0.021760443225502968,0.7104501724243164,0.5475677847862244,0.6591476798057556,0.026236243546009064,cut_roasted_beef_depth_003_cam00_0062
50,"[416, 160, 480, 224]",0.9774050712585449,1.0,0.9819240570068359,cut_roasted_beef,cam00,cam00_0267,267,/leonardo_work/EUHPC_D21_034/proj_adags/repo/adags/refine-logs/depth_occlusion_support/r031_da3_depth_full/depth_npz/cut_roasted_beef/cam00_0267.npz,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/motion_priors/masks/cam00_0267.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/flow/cam00_0267.npz,0,0.18806783854961395,0.37748682498931885,0.31597647070884705,0.47196945548057556,0.3303683400154114,0.03787507489323616,0.03910927474498749,0.41963401436805725,0.5577214956283569,0.6700162291526794,0.039529427886009216,cut_roasted_beef_depth_004_cam00_0267
20,"[352, 160, 416, 224]",0.9772980809211731,1.0,0.9818384647369385,cut_roasted_beef,cam00,cam00_0279,279,/leonardo_work/EUHPC_D21_034/proj_adags/repo/adags/refine-logs/depth_occlusion_support/r031_da3_depth_full/depth_npz/cut_roasted_beef/cam00_0279.npz,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/motion_priors/masks/cam00_0279.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/flow/cam00_0279.npz,0,0.18080078065395355,0.37106063961982727,0.2517089545726776,0.44021496176719666,0.3224843442440033,0.026942333206534386,0.03339052200317383,0.41619691252708435,0.5563560128211975,0.6674544811248779,0.029384475201368332,cut_roasted_beef_depth_005_cam00_0279
30,"[384, 192, 448, 256]",0.9743583798408508,1.0,0.9794867038726807,cut_roasted_beef,cam00,cam00_0062,62,/leonardo_work/EUHPC_D21_034/proj_adags/repo/adags/refine-logs/depth_occlusion_support/r031_da3_depth_full/depth_npz/cut_roasted_beef/cam00_0062.npz,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/motion_priors/masks/cam00_0062.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/flow/cam00_0062.npz,2,0.18464840948581696,0.5087292790412903,0.33076995611190796,0.46884748339653015,0.3126724064350128,0.01844298094511032,0.021760443225502968,0.7104501724243164,0.5475677847862244,0.6591476798057556,0.026236243546009064,cut_roasted_beef_depth_006_cam00_0062
52,"[384, 192, 448, 256]",0.9696372747421265,1.0,0.9757098197937013,cut_roasted_beef,cam00,cam00_0047,47,/leonardo_work/EUHPC_D21_034/proj_adags/repo/adags/refine-logs/depth_occlusion_support/r031_da3_depth_full/depth_npz/cut_roasted_beef/cam00_0047.npz,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/motion_priors/masks/cam00_0047.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/flow/cam00_0047.npz,0,0.1768738031387329,0.6458752751350403,0.31113767623901367,0.4162147343158722,0.31650152802467346,0.025778159499168396,0.035214103758335114,0.5139729976654053,0.5436084270477295,0.6556843519210815,0.030347326770424843,cut_roasted_beef_depth_007_cam00_0047
59,"[384, 160, 448, 224]",0.9685095548629761,1.0,0.974807643890381,cut_roasted_beef,cam00,cam00_0254,254,/leonardo_work/EUHPC_D21_034/proj_adags/repo/adags/refine-logs/depth_occlusion_support/r031_da3_depth_full/depth_npz/cut_roasted_beef/cam00_0254.npz,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/motion_priors/masks/cam00_0254.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/flow/cam00_0254.npz,0,0.18443907797336578,0.40903010964393616,0.30569157004356384,0.4955759346485138,0.3347087502479553,0.0529889240860939,0.043908942490816116,0.2031441479921341,0.5527438521385193,0.6659489274024963,0.044722989201545715,cut_roasted_beef_depth_008_cam00_0254
32,"[416, 160, 480, 224]",0.9664248824119568,1.0,0.9731399059295656,cut_roasted_beef,cam00,cam00_0263,263,/leonardo_work/EUHPC_D21_034/proj_adags/repo/adags/refine-logs/depth_occlusion_support/r031_da3_depth_full/depth_npz/cut_roasted_beef/cam00_0263.npz,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/motion_priors/masks/cam00_0263.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/flow/cam00_0263.npz,0,0.18436956405639648,0.4328606128692627,0.2767837345600128,0.4959595799446106,0.3367772698402405,0.05345867946743965,0.04776034876704216,0.3126232624053955,0.5552851557731628,0.6675565838813782,0.04479009658098221,cut_roasted_beef_depth_009_cam00_0263
114,"[384, 160, 448, 224]",0.9661045670509338,1.0,0.972883653640747,cut_roasted_beef,cam00,cam00_0267,267,/leonardo_work/EUHPC_D21_034/proj_adags/repo/adags/refine-logs/depth_occlusion_support/r031_da3_depth_full/depth_npz/cut_roasted_beef/cam00_0267.npz,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/motion_priors/masks/cam00_0267.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/flow/cam00_0267.npz,1,0.18806783854961395,0.37748682498931885,0.31597647070884705,0.47196945548057556,0.3303683400154114,0.03787507489323616,0.03910927474498749,0.41963401436805725,0.5577214956283569,0.6700162291526794,0.039529427886009216,cut_roasted_beef_depth_010_cam00_0267
36,"[320, 192, 384, 256]",0.9654769897460938,1.0,0.972381591796875,cut_roasted_beef,cam00,cam00_0052,52,/leonardo_work/EUHPC_D21_034/proj_adags/repo/adags/refine-logs/depth_occlusion_support/r031_da3_depth_full/depth_npz/cut_roasted_beef/cam00_0052.npz,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/motion_priors/masks/cam00_0052.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/flow/cam00_0052.npz,0,0.17410947382450104,0.37893038988113403,0.28957992792129517,0.4637349247932434,0.31744176149368286,0.025935716927051544,0.036783844232559204,0.5174042582511902,0.5450118184089661,0.6571111083030701,0.029352379962801933,cut_roasted_beef_depth_011_cam00_0052
