candidate_id,scene,frame_start,frame_end,crop_xyxy,score,score_mean,score_peak,dynamic_motion_mean,static_delta_motion_mean,motion_mask_mean,mask_boundary_mean,flicker_motion_mean
cut_roasted_beef_nonoracle_01_248_263_320_240_480_400,cut_roasted_beef,248,263,"[320, 240, 480, 400]",0.05998587242793291,0.056505509885028005,0.06810671836137772,0.027632387646008283,0.01740398973925039,0.13896595546975732,0.07429283508099616,0.006248082368983887
cut_roasted_beef_nonoracle_02_256_271_320_240_480_400,cut_roasted_beef,256,271,"[320, 240, 480, 400]",0.051115292590111494,0.04383325297385454,0.06810671836137772,0.021567066723946482,0.012678340950515121,0.10541427321732044,0.06534746440593153,0.004537581968179438
cut_roasted_beef_nonoracle_03_252_267_320_320_480_480,cut_roasted_beef,252,267,"[320, 320, 480, 480]",0.04841211740858853,0.04641983611509204,0.05306077376008034,0.024828541674651206,0.017635919561143965,0.10725887678563595,0.06283079646527767,0.004461369622731581
cut_roasted_beef_nonoracle_04_244_259_240_240_400_400,cut_roasted_beef,244,259,"[240, 240, 400, 400]",0.04636632022447884,0.04254292277619243,0.05528758093714714,0.02046298037748784,0.01407265244051814,0.10448086052201688,0.054941990645602345,0.0049660404765745625
cut_roasted_beef_nonoracle_05_240_255_320_240_480_400,cut_roasted_beef,240,255,"[320, 240, 480, 400]",0.04598837254452519,0.03703052207129076,0.06689002364873886,0.017730318068061024,0.0122214718721807,0.08935773721896112,0.05235345859546214,0.003895244146406185
cut_roasted_beef_nonoracle_06_244_259_320_320_480_480,cut_roasted_beef,244,259,"[320, 320, 480, 480]",0.04532237742096186,0.042272774502635,0.05243811756372452,0.020506318716797978,0.014886942750308663,0.10345702292397618,0.05287691461853683,0.004437610892637167
cut_roasted_beef_nonoracle_07_248_263_320_160_480_320,cut_roasted_beef,248,263,"[320, 160, 480, 320]",0.041339225019328296,0.038669751258566976,0.04756799712777138,0.021262136986479163,0.012232345179654658,0.09386359946802258,0.04452487314119935,0.005030591375543736
cut_roasted_beef_nonoracle_08_252_267_240_240_400_400,cut_roasted_beef,252,267,"[240, 240, 400, 400]",0.04057288456824608,0.03426658612443134,0.05528758093714714,0.015779763518366963,0.010141828730411362,0.08545462763868272,0.04643678187858313,0.004017523082438856
cut_roasted_beef_nonoracle_09_148_163_240_320_400_480,cut_roasted_beef,148,163,"[240, 320, 400, 480]",0.04032775948144263,0.034137434224248864,0.05477185174822807,0.017023326588969212,0.01282219339555013,0.07996369307511486,0.04855921625858173,0.0025375093164257123
cut_roasted_beef_nonoracle_10_260_275_320_320_480_480,cut_roasted_beef,260,275,"[320, 320, 480, 480]",0.038562190346419806,0.0323485117405653,0.05306077376008034,0.018007926584687084,0.012530152889667079,0.07147127704229206,0.04914650390855968,0.0026145952760998625
cut_roasted_beef_nonoracle_11_184_199_240_320_400_480,cut_roasted_beef,184,199,"[240, 320, 400, 480]",0.03833819927822332,0.029660090833203867,0.05858711898326874,0.014831776963546872,0.011246589361689985,0.06990774220321327,0.04083583259489387,0.00193604906417022
cut_roasted_beef_nonoracle_12_156_171_240_320_400_480,cut_roasted_beef,156,171,"[240, 320, 400, 480]",0.03736355133005417,0.029902851150836796,0.05477185174822807,0.014845299650914967,0.011575929820537567,0.06881737161893398,0.04491483839228749,0.0023437208983523306
cut_roasted_beef_nonoracle_13_184_199_320_320_480_480,cut_roasted_beef,184,199,"[320, 320, 480, 480]",0.036031914426712316,0.028638187155593187,0.053283944725990295,0.016122451197588816,0.012391190888592973,0.06462167634163052,0.03644014219753444,0.001961966227099765
cut_roasted_beef_nonoracle_14_176_191_240_320_400_480,cut_roasted_beef,176,191,"[240, 320, 400, 480]",0.03578068660426652,0.026006501298979856,0.05858711898326874,0.013316181153641082,0.010277655383106321,0.06122057785978541,0.033879767812322825,0.0016660537646657758
cut_roasted_beef_nonoracle_15_256_271_320_160_480_320,cut_roasted_beef,256,271,"[320, 160, 480, 320]",0.03567630105826538,0.030579859885619953,0.04756799712777138,0.01687614357797429,0.009403662945260294,0.0729899478610605,0.03874006244586781,0.004016008917460567
cut_roasted_beef_nonoracle_16_244_259_240_320_400_480,cut_roasted_beef,244,259,"[240, 320, 400, 480]",0.035540001175832,0.03285617392975837,0.041802264750003815,0.015169964812230319,0.011090416286606342,0.08242610655725002,0.03972569201141596,0.0038997244409983978
cut_roasted_beef_nonoracle_17_152_167_320_320_480_480,cut_roasted_beef,152,167,"[320, 320, 480, 480]",0.03547886801534332,0.029911774152424186,0.048468753695487976,0.01646889216499403,0.012923964764922857,0.06581609015120193,0.04351229395251721,0.002228366101917345
cut_roasted_beef_nonoracle_18_120_135_320_320_480_480,cut_roasted_beef,120,135,"[320, 320, 480, 480]",0.035424887924455105,0.03400266566313803,0.038743406534194946,0.018436502723488957,0.012597991793882102,0.0756109633948654,0.05342388618737459,0.003105233859969303
cut_roasted_beef_nonoracle_19_236_251_240_240_400_400,cut_roasted_beef,236,251,"[240, 240, 400, 400]",0.034906430717092,0.026938251336105168,0.053498849272727966,0.01288483283133246,0.009148036435362883,0.06339649180881679,0.04155819199513644,0.0027321602719894145
cut_roasted_beef_nonoracle_20_176_191_320_320_480_480,cut_roasted_beef,176,191,"[320, 320, 480, 480]",0.033334781482699326,0.024785140092717484,0.053283944725990295,0.014064945178688504,0.010924554371740669,0.056267203035531566,0.029810958221787587,0.001667479953084694
cut_roasted_beef_nonoracle_21_248_263_240_160_400_320,cut_roasted_beef,248,263,"[240, 160, 400, 320]",0.031103506113868203,0.02878305979538709,0.036517880856990814,0.015293478209059685,0.00952243123902008,0.06988558056764305,0.03398808161728084,0.003590640008042101
cut_roasted_beef_nonoracle_22_240_255_320_160_480_320,cut_roasted_beef,240,255,"[320, 160, 480, 320]",0.030959365947637707,0.025234641856513917,0.044317055493593216,0.013750118494499475,0.008457507443381473,0.05906466534361243,0.033995720208622515,0.0028397024289006367
cut_roasted_beef_nonoracle_23_264_279_320_240_480_400,cut_roasted_beef,264,279,"[320, 240, 480, 400]",0.030830908101052046,0.024320160038769245,0.046022653579711914,0.01172256312565878,0.007175788894528523,0.055411208188161254,0.04465909383725375,0.0020920809838571586
cut_roasted_beef_nonoracle_24_208_223_240_320_400_480,cut_roasted_beef,208,223,"[240, 320, 400, 480]",0.03078902237466536,0.026621302647981793,0.04051370173692703,0.012257754046004266,0.008520236107870005,0.06342917855363339,0.04241548012942076,0.0020437313069123775
flame_steak_nonoracle_01_168_183_240_320_400_480,flame_steak,168,183,"[240, 320, 400, 480]",0.056723646330647165,0.051955147879198194,0.06785014271736145,0.03373949637170881,0.02462546608876437,0.11723186587914824,0.042862591333687305,0.00791465220390819
flame_steak_nonoracle_02_176_191_240_240_400_400,flame_steak,176,191,"[240, 240, 400, 400]",0.05417929473333061,0.05276779131963849,0.05747280269861221,0.030354059068486094,0.02020991308381781,0.11975475633516908,0.06834275485016406,0.0063685489585623145
flame_steak_nonoracle_03_160_175_240_320_400_480,flame_steak,160,175,"[240, 320, 400, 480]",0.052715601853560654,0.04622937005478889,0.06785014271736145,0.0286567744333297,0.022142855887068436,0.10743434866890311,0.03467508207540959,0.0067537897703005
flame_steak_nonoracle_04_164_179_320_320_480_480,flame_steak,164,179,"[320, 320, 480, 480]",0.051428171410225335,0.04537766450084746,0.06554602086544037,0.028665788588114083,0.022068167512770742,0.10356245096772909,0.03586113569326699,0.007017401745542884
