window_id,scene,frame_start,frame_end,crop_xyxy,candidate_score,status,smooth_l1,event_l1,smooth_flicker,event_flicker,static_ghost,event_budget,smooth_score,event_score,delta_score,accepted
cut_roasted_beef_nonoracle_01_248_263_320_240_480_400,cut_roasted_beef,248,263,"[320, 240, 480, 400]",0.05998587242793291,scored,0.018811330199241638,0.1854160875082016,0.013480249792337418,0.02532973513007164,0.10132287442684174,0.8794795870780945,0.022181392647325993,0.19183646924942732,0.16965507660210133,False
cut_roasted_beef_nonoracle_02_256_271_320_240_480_400,cut_roasted_beef,256,271,"[320, 240, 480, 400]",0.051115292590111494,scored,0.017585011199116707,0.17803485691547394,0.011901100166141987,0.02238428220152855,0.09809186309576035,0.8794795870780945,0.020560286240652204,0.1837188754245639,0.16315858918391168,False
cut_roasted_beef_nonoracle_03_252_267_320_320_480_480,cut_roasted_beef,252,267,"[320, 320, 480, 480]",0.04841211740858853,scored,0.016392281278967857,0.16845767199993134,0.011585593223571777,0.021520152688026428,0.07223290205001831,0.8794795870780945,0.0192886795848608,0.17392565813064575,0.15463697854578495,False
cut_roasted_beef_nonoracle_04_244_259_240_240_400_400,cut_roasted_beef,244,259,"[240, 240, 400, 400]",0.04636632022447884,scored,0.016228334978222847,0.16068135201931,0.010743889957666397,0.021462103351950645,0.08794478327035904,0.8794795870780945,0.018914307467639446,0.16613482581600547,0.14722051834836603,False
cut_roasted_beef_nonoracle_05_240_255_320_240_480_400,cut_roasted_beef,240,255,"[320, 240, 480, 400]",0.04598837254452519,scored,0.018092533573508263,0.18823453783988953,0.009909539483487606,0.02138948068022728,0.10275911539793015,0.8794795870780945,0.020569918444380164,0.19366985596865416,0.173099937524274,False
cut_roasted_beef_nonoracle_06_244_259_320_320_480_480,cut_roasted_beef,244,259,"[320, 320, 480, 480]",0.04532237742096186,scored,0.016631152480840683,0.17633870244026184,0.011354755610227585,0.022210102528333664,0.07388854026794434,0.8794795870780945,0.01946984138339758,0.18197917603105307,0.1625093346476555,False
cut_roasted_beef_nonoracle_07_248_263_320_160_480_320,cut_roasted_beef,248,263,"[320, 160, 480, 320]",0.041339225019328296,scored,0.01731761544942856,0.3399484157562256,0.011047654785215855,0.03419144079089165,0.2161383032798767,0.8794795870780945,0.020079529145732522,0.3485842239126563,0.3285046947669238,False
cut_roasted_beef_nonoracle_08_252_267_240_240_400_400,cut_roasted_beef,252,267,"[240, 240, 400, 400]",0.04057288456824608,scored,0.01586471125483513,0.18073318898677826,0.01006164588034153,0.02156221494078636,0.09305249899625778,0.8794795870780945,0.01838012272492051,0.18621169068068266,0.16783156795576215,False
cut_roasted_beef_nonoracle_09_148_163_240_320_400_480,cut_roasted_beef,148,163,"[240, 320, 400, 480]",0.04032775948144263,scored,0.016312023624777794,0.13681310415267944,0.010134218260645866,0.017631810158491135,0.06751370429992676,0.8794795870780945,0.01884557818993926,0.14130900465101004,0.12246342646107078,False
cut_roasted_beef_nonoracle_10_260_275_320_320_480_480,cut_roasted_beef,260,275,"[320, 320, 480, 480]",0.038562190346419806,scored,0.01570868119597435,0.16218215227127075,0.009787412360310555,0.0190107598900795,0.06985117495059967,0.8794795870780945,0.01815553428605199,0.16702279020249844,0.14886725591644645,False
cut_roasted_beef_nonoracle_11_184_199_240_320_400_480,cut_roasted_beef,184,199,"[240, 320, 400, 480]",0.03833819927822332,scored,0.015450555831193924,0.1343432068824768,0.009378945454955101,0.016596978530287743,0.061124127358198166,0.8794795870780945,0.0177952921949327,0.13858039947375655,0.12078510727882386,False
cut_roasted_beef_nonoracle_12_156_171_240_320_400_480,cut_roasted_beef,156,171,"[240, 320, 400, 480]",0.03736355133005417,scored,0.01721951737999916,0.14436279237270355,0.0092323562130332,0.01683996245265007,0.06304444372653961,0.8794795870780945,0.01952760643325746,0.14866073094457388,0.12913312451131642,False
cut_roasted_beef_nonoracle_13_184_199_320_320_480_480,cut_roasted_beef,184,199,"[320, 320, 480, 480]",0.036031914426712316,scored,0.016822246834635735,0.18889696896076202,0.00875829253345728,0.019715512171387672,0.0664534643292427,0.8794795870780945,0.019011819968000054,0.19391379496231675,0.1749019749943167,False
cut_roasted_beef_nonoracle_14_176_191_240_320_400_480,cut_roasted_beef,176,191,"[240, 320, 400, 480]",0.03578068660426652,scored,0.01629202626645565,0.13997498154640198,0.009079229086637497,0.016719138249754906,0.05996931716799736,0.8794795870780945,0.018561833538115025,0.14424271406754852,0.1256808805294335,False
cut_roasted_beef_nonoracle_15_256_271_320_160_480_320,cut_roasted_beef,256,271,"[320, 160, 480, 320]",0.03567630105826538,scored,0.017033331096172333,0.3386658728122711,0.009946639649569988,0.032301053404808044,0.21635691821575165,0.8794795870780945,0.01951999100856483,0.34682908412218094,0.3273090931136161,False
cut_roasted_beef_nonoracle_16_244_259_240_320_400_480,cut_roasted_beef,244,259,"[240, 320, 400, 480]",0.035540001175832,scored,0.015132339671254158,0.15271520614624023,0.010056521743535995,0.019782433286309242,0.07631485909223557,0.8794795870780945,0.017646470107138157,0.15774876242652536,0.1401022923193872,False
cut_roasted_beef_nonoracle_17_152_167_320_320_480_480,cut_roasted_beef,152,167,"[320, 320, 480, 480]",0.03547886801534332,scored,0.01732034608721733,0.19419841468334198,0.009011250920593739,0.020692555233836174,0.0690169706940651,0.8794795870780945,0.019573158817365766,0.19945950145050884,0.17988634263314307,False
cut_roasted_beef_nonoracle_18_120_135_320_320_480_480,cut_roasted_beef,120,135,"[320, 320, 480, 480]",0.035424887924455105,scored,0.015646956861019135,0.1752449870109558,0.009385223500430584,0.019706856459379196,0.0756189227104187,0.8794795870780945,0.01799326273612678,0.18025964908450842,0.16226638634838164,False
cut_roasted_beef_nonoracle_19_236_251_240_240_400_400,cut_roasted_beef,236,251,"[240, 240, 400, 400]",0.034906430717092,scored,0.01531939022243023,0.14717869460582733,0.008097800426185131,0.016842640936374664,0.08644361793994904,0.8794795870780945,0.017343840328976512,0.1514773027986288,0.1341334624696523,False
cut_roasted_beef_nonoracle_20_176_191_320_320_480_480,cut_roasted_beef,176,191,"[320, 320, 480, 480]",0.033334781482699326,scored,0.017384162172675133,0.1954866200685501,0.008473600260913372,0.019929172471165657,0.06651042401790619,0.8794795870780945,0.019502562237903476,0.20055686114504934,0.18105429890714586,False
cut_roasted_beef_nonoracle_21_248_263_240_160_400_320,cut_roasted_beef,248,263,"[240, 160, 400, 320]",0.031103506113868203,scored,0.014891953207552433,0.31817540526390076,0.009052690118551254,0.030732231214642525,0.17557145655155182,0.8794795870780945,0.017155125737190247,0.3259464110262692,0.30879128528907895,False
cut_roasted_beef_nonoracle_22_240_255_320_160_480_320,cut_roasted_beef,240,255,"[320, 160, 480, 320]",0.030959365947637707,scored,0.0162188783288002,0.34212493896484375,0.008089929819107056,0.030716875568032265,0.2164594531059265,0.8794795870780945,0.018241360783576965,0.34989210581555963,0.33165074503198266,False
cut_roasted_beef_nonoracle_23_264_279_320_240_480_400,cut_roasted_beef,264,279,"[320, 240, 480, 400]",0.030830908101052046,scored,0.016743943095207214,0.17326603829860687,0.008599605411291122,0.01826283521950245,0.09394147992134094,0.8794795870780945,0.018893844448029995,0.1779196950621903,0.1590258506141603,False
cut_roasted_beef_nonoracle_24_208_223_240_320_400_480,cut_roasted_beef,208,223,"[240, 320, 400, 480]",0.03078902237466536,scored,0.01622384786605835,0.13280771672725677,0.00922201108187437,0.016364779323339462,0.06678489595651627,0.8794795870780945,0.018529350636526942,0.13698685951679945,0.11845750888027251,False
flame_steak_nonoracle_01_168_183_240_320_400_480,flame_steak,168,183,"[240, 320, 400, 480]",0.056723646330647165,scored,0.019802942872047424,0.16479894518852234,0.017257632687687874,0.027335144579410553,0.14840736985206604,0.8794795870780945,0.024117351043969393,0.1717206792920828,0.1476033282481134,False
