area,bbox_xyxy,mean_score,peak_score,component_score,scene,image_name,frame_idx,mask_source,flow_source,local_component_rank,mask_boundary_mean,flow_valid_boundary_mean,flow_mag_boundary_mean,dynamic_boundary_mean,static_delta_boundary_mean,flicker_boundary_mean,component_id
381,"[320, 160, 384, 224]",0.9547244310379028,1.0,0.9637795448303224,flame_steak,cam00_0178,178,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0178.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0178.npz,0,0.06048749387264252,0.0529276505112648,0.33787915110588074,0.5574268102645874,0.6395201086997986,0.039824120700359344,flame_steak_boundary_006_cam00_0178
323,"[320, 160, 384, 224]",0.9515479207038879,1.0,0.9612383365631103,flame_steak,cam00_0176,176,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0176.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0176.npz,0,0.06051083654165268,0.04722932353615761,0.318088173866272,0.5569278597831726,0.6401590704917908,0.03564009070396423,flame_steak_boundary_007_cam00_0176
265,"[352, 160, 416, 224]",0.9483018517494202,1.0,0.9586414813995361,flame_steak,cam00_0208,208,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0208.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0208.npz,0,0.0489245243370533,0.03324755281209946,0.7136508822441101,0.55253666639328,0.6479990482330322,0.03388361632823944,flame_steak_boundary_008_cam00_0208
219,"[416, 288, 480, 352]",0.947945237159729,1.0,0.9583561897277832,flame_steak,cam00_0217,217,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0217.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0217.npz,0,0.05710000917315483,0.03823103755712509,0.35920485854148865,0.5500945448875427,0.649539589881897,0.036007724702358246,flame_steak_boundary_009_cam00_0217
1187,"[384, 256, 448, 320]",0.94663006067276,1.0,0.957304048538208,flame_steak,cam00_0181,181,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0181.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0181.npz,0,0.06477072834968567,0.04345085844397545,0.4618360698223114,0.5563763976097107,0.6395696997642517,0.039999183267354965,flame_steak_boundary_010_cam00_0181
54,"[96, 320, 160, 384]",0.9462963342666626,1.0,0.9570370674133302,flame_steak,cam00_0078,78,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0078.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0078.npz,1,0.04518399387598038,0.03048737719655037,0.5100253224372864,0.5721583962440491,0.6185386776924133,0.03379608690738678,flame_steak_boundary_011_cam00_0078
881,"[384, 256, 448, 320]",0.9459705352783203,1.0,0.9567764282226563,flame_steak,cam00_0193,193,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0193.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0193.npz,0,0.056927863508462906,0.03496025875210762,0.35833829641342163,0.556545615196228,0.644375205039978,0.038140587508678436,flame_steak_boundary_012_cam00_0193
1063,"[320, 384, 384, 448]",0.945813775062561,1.0,0.9566510200500489,flame_steak,cam00_0085,85,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0085.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0085.npz,0,0.0513024739921093,0.036848034709692,0.5785394906997681,0.5732000470161438,0.6205752491950989,0.0380384661257267,flame_steak_boundary_013_cam00_0085
365,"[384, 224, 448, 288]",0.9456164836883545,1.0,0.9564931869506836,flame_steak,cam00_0193,193,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0193.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0193.npz,1,0.056927863508462906,0.03496025875210762,0.35833829641342163,0.556545615196228,0.644375205039978,0.038140587508678436,flame_steak_boundary_014_cam00_0193
67,"[96, 352, 160, 416]",0.9455224275588989,1.0,0.9564179420471193,flame_steak,cam00_0085,85,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0085.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0085.npz,1,0.0513024739921093,0.036848034709692,0.5785394906997681,0.5732000470161438,0.6205752491950989,0.0380384661257267,flame_steak_boundary_015_cam00_0085
80,"[0, 320, 64, 384]",0.9449998736381531,1.0,0.9559998989105225,flame_steak,cam00_0029,29,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0029.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0029.npz,0,0.04689086601138115,0.030857929959893227,0.6283393502235413,0.575592577457428,0.6035473942756653,0.03411703556776047,flame_steak_boundary_016_cam00_0029
80,"[0, 352, 64, 416]",0.9449998736381531,1.0,0.9559998989105225,flame_steak,cam00_0029,29,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0029.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0029.npz,1,0.04689086601138115,0.030857929959893227,0.6283393502235413,0.575592577457428,0.6035473942756653,0.03411703556776047,flame_steak_boundary_017_cam00_0029
177,"[352, 416, 416, 480]",0.9446328282356262,1.0,0.9557062625885011,flame_steak,cam00_0178,178,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0178.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0178.npz,1,0.06048749387264252,0.0529276505112648,0.33787915110588074,0.5574268102645874,0.6395201086997986,0.039824120700359344,flame_steak_boundary_018_cam00_0178
177,"[384, 416, 448, 480]",0.9446328282356262,1.0,0.9557062625885011,flame_steak,cam00_0178,178,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0178.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0178.npz,2,0.06048749387264252,0.0529276505112648,0.33787915110588074,0.5574268102645874,0.6395201086997986,0.039824120700359344,flame_steak_boundary_019_cam00_0178
466,"[320, 160, 384, 224]",0.9439913630485535,1.0,0.9551930904388428,flame_steak,cam00_0074,74,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0074.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0074.npz,0,0.03825729712843895,0.03205711767077446,0.4901964068412781,0.574440062046051,0.6164291501045227,0.031785767525434494,flame_steak_boundary_020_cam00_0074
512,"[416, 256, 480, 320]",0.9431641101837158,1.0,0.9545312881469727,flame_steak,cam00_0181,181,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/motion_priors/masks/cam00_0181.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/flame_steak/flow/cam00_0181.npz,1,0.06477072834968567,0.04345085844397545,0.4618360698223114,0.5563763976097107,0.6395696997642517,0.039999183267354965,flame_steak_boundary_021_cam00_0181
